y	MEN	URBAN	PRIVATE	AGE	SENIORITY
0	1	1	1	66	15
0	0	1	1	43	15
1	0	1	1	39	15
1	1	0	1	77	15
0	1	1	1	47	15
0	1	0	1	66	20
0	1	0	1	47	14
0	1	0	1	46	14
0	0	1	1	53	14
1	1	1	1	57	14
0	1	0	1	54	14
0	1	0	1	41	14
1	1	1	1	48	18
1	1	1	1	65	14
0	1	0	1	74	14
0	1	0	1	42	14
0	1	0	1	59	17
1	1	0	1	45	14
0	1	0	1	33	15
1	1	1	1	47	16
1	1	1	1	44	14
1	0	1	1	57	14
0	1	0	1	55	20
1	1	0	1	42	15
0	1	0	1	52	14
0	1	0	1	70	16
1	1	0	1	35	16
0	1	0	1	37	16
1	1	0	1	39	15
0	0	0	1	51	21
1	1	0	1	45	15
0	1	1	1	67	20
0	0	0	1	49	14
1	1	1	1	51	14
0	1	0	1	72	20
1	1	1	1	43	17
0	1	0	1	56	14
0	1	0	1	42	15
1	0	1	1	32	14
1	1	1	1	43	18
1	1	0	1	85	35
0	1	1	1	57	16
0	1	0	1	44	14
1	1	0	1	36	14
1	1	0	1	37	14
0	1	0	1	62	15
0	1	0	1	53	14
0	1	0	1	41	14
0	0	1	1	33	14
0	1	0	1	58	14
0	1	0	1	65	13
1	0	0	1	40	14
0	1	0	1	42	13
1	1	0	1	48	20
0	1	0	1	63	24
0	1	0	1	47	22
0	1	0	1	60	20
1	0	1	1	46	21
0	1	0	1	34	13
1	0	0	1	32	13
0	1	0	1	59	13
0	1	0	1	55	20
0	1	0	1	43	17
0	0	0	1	30	19
0	1	0	1	68	21
0	1	0	1	53	21
0	1	0	1	61	13
0	1	0	1	46	14
0	1	1	1	44	21
0	0	0	1	43	19
0	1	1	1	58	16
0	1	0	1	44	15
1	1	0	1	36	13
0	1	0	1	70	26
0	1	0	1	73	21
0	1	0	1	50	14
0	1	0	1	41	13
1	1	0	1	48	19
0	1	0	1	73	14
0	1	0	1	81	19
1	1	1	1	56	13
1	1	1	1	48	18
1	1	0	1	32	17
0	1	1	1	44	13
0	1	0	1	54	13
1	1	0	1	43	15
1	1	0	1	41	15
0	1	0	1	39	13
0	1	0	1	58	13
1	1	1	1	37	13
0	1	0	1	44	15
0	1	0	1	57	13
0	1	1	1	61	9
1	1	1	1	43	20
1	1	0	1	50	14
0	1	0	1	41	13
1	1	1	1	51	17
0	0	0	1	45	18
0	1	0	1	56	19
0	1	1	1	57	14
1	1	0	1	52	13
0	1	0	1	41	13
0	1	0	1	56	13
1	1	1	1	63	16
0	1	0	1	58	13
0	1	0	1	43	15
0	1	0	1	45	23
0	1	1	1	41	17
0	1	1	1	44	13
0	1	0	1	65	14
0	0	1	1	39	12
1	1	1	1	68	22
0	1	0	1	68	13
0	1	0	1	36	17
0	1	1	1	44	12
0	0	0	1	52	12
1	0	1	1	46	18
0	1	0	1	52	12
0	1	0	1	51	14
0	0	1	1	42	12
0	1	1	1	43	12
1	1	0	1	59	25
0	1	1	1	36	12
0	1	0	1	71	12
0	1	0	1	40	16
1	1	1	1	63	12
1	1	0	1	50	23
0	1	0	1	44	15
0	1	0	1	65	24
0	1	0	1	43	15
1	1	0	1	52	23
0	1	0	1	67	13
1	1	0	1	56	20
1	1	1	1	56	20
1	1	0	1	44	25
0	1	0	1	48	12
0	1	0	1	50	16
0	1	0	1	54	12
1	1	0	1	41	15
1	1	0	1	47	12
1	1	0	1	27	12
1	0	1	1	45	13
1	1	1	1	41	18
1	1	0	1	38	15
1	1	0	1	37	16
0	1	0	1	70	38
0	1	1	1	52	15
1	1	1	1	47	21
0	1	0	1	52	21
1	1	0	1	52	24
0	1	0	1	51	17
1	1	0	1	69	25
0	1	0	1	39	21
0	1	0	1	68	12
1	1	0	1	46	12
1	1	1	1	38	14
0	1	1	1	56	21
0	1	0	1	35	12
0	0	1	1	42	14
1	0	0	1	33	13
0	1	0	1	61	15
1	1	0	1	39	16
0	0	1	1	43	24
0	1	1	1	57	12
0	1	0	1	40	16
0	1	1	1	42	12
0	1	1	1	63	13
1	1	1	1	61	21
0	1	0	1	36	14
1	0	1	1	50	11
0	1	0	1	72	15
0	1	1	1	47	11
0	1	1	1	46	11
0	1	0	1	36	11
0	0	0	1	50	15
1	1	1	1	74	20
0	0	0	1	63	20
0	1	0	1	63	11
0	1	1	1	38	11
0	1	1	1	59	11
0	1	0	1	46	19
0	1	0	1	56	17
1	1	1	1	49	13
0	0	1	1	50	11
0	1	0	1	70	11
0	0	0	1	55	11
1	1	0	1	64	27
0	1	1	1	64	11
1	1	0	1	37	15
0	1	1	1	57	19
0	1	0	1	40	16
1	1	0	1	44	16
0	1	0	1	76	11
0	1	0	1	65	11
0	1	1	1	52	11
1	1	0	1	70	26
1	0	0	1	37	13
1	1	1	1	56	17
0	0	1	1	49	19
0	1	0	1	40	20
1	0	0	1	49	11
1	1	0	1	39	15
0	1	0	1	37	14
1	1	1	1	58	11
0	1	0	1	45	11
1	1	0	1	50	21
0	0	1	1	36	11
0	0	0	1	55	27
0	1	1	1	35	15
0	1	0	1	70	14
1	0	1	1	33	14
0	1	0	1	65	11
0	1	0	0	47	16
1	1	0	1	43	22
0	1	0	0	58	14
1	1	1	1	41	11
1	1	1	1	44	12
0	1	0	1	49	24
0	1	0	1	31	2
1	0	0	1	65	16
0	1	0	1	58	22
1	1	0	1	43	18
0	1	0	1	53	11
1	0	1	1	58	22
0	1	0	1	69	20
0	1	0	1	48	14
1	1	0	1	41	18
0	1	0	1	37	13
1	1	1	1	60	31
1	1	1	1	45	15
1	1	1	1	49	22
0	1	1	1	55	11
0	1	0	1	71	14
0	1	0	1	54	20
0	1	1	1	38	14
1	1	1	1	61	16
1	1	1	1	44	12
0	1	1	1	63	11
0	1	0	1	39	10
0	1	1	1	61	10
1	0	0	1	49	14
1	1	1	1	38	15
1	0	0	1	59	26
0	1	0	1	35	17
1	1	1	1	47	10
1	1	1	1	62	15
1	1	1	1	45	14
1	1	0	1	52	20
1	0	1	1	53	15
0	1	0	1	46	16
0	1	0	1	66	20
1	1	0	1	49	20
0	1	1	1	62	10
0	1	0	1	88	24
0	1	0	0	29	10
0	1	0	1	58	10
0	1	0	1	51	16
0	1	1	0	61	10
0	1	0	1	82	20
0	1	1	1	58	19
1	1	1	1	51	12
1	1	0	1	55	10
0	1	1	1	68	10
1	1	1	1	56	17
1	1	0	1	22	21
0	1	0	1	55	23
1	1	1	1	49	16
1	0	0	1	33	15
0	1	0	1	61	18
1	1	0	1	35	13
0	1	0	1	56	28
1	0	0	1	39	12
1	1	1	1	37	14
0	1	0	1	63	21
0	1	1	1	36	10
0	1	0	1	71	20
1	1	0	1	51	25
0	1	0	1	67	10
1	1	0	1	48	20
0	1	0	1	61	15
1	1	1	1	35	10
0	1	0	1	75	12
1	1	1	1	42	12
0	1	1	1	60	18
0	1	0	1	56	18
0	1	0	1	39	14
0	1	0	1	38	13
0	1	0	1	56	18
1	1	1	1	37	10
1	1	1	1	30	13
1	1	1	1	53	20
0	1	0	1	53	14
0	1	0	1	49	14
0	1	0	1	56	10
0	1	1	1	42	9
0	1	0	1	54	9
0	1	1	1	51	9
0	1	0	1	62	16
0	1	1	1	54	9
1	1	1	1	63	14
0	1	0	1	58	17
0	1	0	1	41	21
0	1	0	1	52	24
0	1	1	1	53	22
1	1	1	1	47	9
1	1	1	1	46	12
0	1	0	1	38	9
0	1	0	1	32	9
1	1	0	1	56	20
0	1	0	1	54	19
0	1	0	1	56	14
1	1	1	1	38	13
1	1	1	1	54	14
1	0	1	1	46	26
1	1	1	1	45	9
1	1	0	1	57	15
1	1	1	1	52	20
1	1	0	1	32	14
0	1	1	1	58	20
1	1	0	1	38	14
1	1	1	1	36	9
1	1	1	1	42	13
1	1	1	1	65	13
1	0	0	1	45	15
1	1	1	1	45	15
0	1	0	1	58	13
0	1	0	1	72	9
0	0	0	1	49	14
0	0	0	1	36	9
0	0	1	1	39	13
1	1	0	1	43	17
0	1	0	1	33	9
0	1	1	1	58	14
1	1	0	1	32	9
0	1	0	1	48	9
0	1	0	1	69	9
0	1	0	1	45	17
0	1	0	1	52	12
0	1	0	1	33	11
1	0	1	1	47	9
1	0	1	1	60	9
1	0	1	1	39	11
1	0	1	1	47	9
0	0	0	1	39	13
1	0	0	1	39	9
1	0	1	1	33	14
1	1	1	1	33	9
0	0	1	1	52	10
0	1	0	1	66	14
0	1	1	1	61	15
1	1	0	1	56	9
1	0	1	1	56	9
0	1	0	1	72	14
0	1	0	1	38	14
0	1	1	1	46	11
0	1	0	1	68	20
1	1	0	1	62	30
0	1	0	1	32	9
1	1	0	1	54	18
0	1	0	1	57	12
1	1	0	1	31	12
0	0	0	1	48	9
0	1	0	1	22	9
0	1	0	1	48	25
0	1	1	1	34	10
0	1	0	1	37	14
0	1	0	1	75	20
0	1	1	1	38	22
1	1	0	1	53	20
0	1	1	1	47	2
1	1	1	1	35	11
1	1	0	1	40	13
0	0	0	1	37	16
1	1	1	1	71	15
0	1	0	1	71	11
1	0	0	1	40	16
0	1	0	1	65	19
1	0	1	1	42	10
1	1	0	1	57	20
0	1	1	1	64	19
0	1	0	1	73	18
0	1	1	1	63	15
0	1	0	1	73	18
1	1	1	1	38	16
0	1	0	1	77	13
1	1	0	1	73	29
0	1	1	1	46	23
1	1	1	1	38	11
0	1	0	1	58	19
0	1	0	1	67	23
1	1	0	1	34	13
1	0	0	1	42	17
1	1	0	1	70	32
0	1	0	1	73	15
1	1	1	1	44	21
1	1	1	1	37	9
1	0	0	1	49	17
0	1	0	1	49	17
0	1	0	1	53	9
1	0	0	1	47	15
0	1	1	1	60	18
1	1	1	1	39	13
1	1	1	1	67	20
0	1	0	1	44	20
0	1	1	1	63	24
0	1	1	1	66	11
0	1	0	1	45	14
0	1	0	1	36	11
1	0	0	1	36	13
0	1	0	1	49	9
0	1	0	1	35	18
1	0	0	1	39	15
0	1	1	1	34	14
1	1	0	1	44	19
0	0	0	1	36	10
0	1	1	1	34	9
0	1	1	1	37	17
1	1	0	1	44	14
0	1	0	1	58	20
0	1	0	1	64	15
1	0	0	1	48	9
0	1	0	1	31	12
0	1	0	1	38	12
1	1	1	1	57	26
0	1	0	1	36	14
0	1	1	1	63	20
0	1	0	1	49	20
0	1	0	1	46	28
1	1	0	1	43	18
1	1	1	1	52	13
1	0	0	1	48	25
1	1	1	1	51	13
1	1	0	1	48	19
0	1	0	1	53	15
0	1	0	1	48	15
0	1	1	1	51	21
1	1	1	1	42	9
1	0	0	1	46	9
1	1	0	1	33	15
0	1	1	1	43	13
1	1	0	1	51	21
1	1	0	1	40	22
0	1	0	1	73	10
1	0	0	1	62	21
0	1	0	1	56	14
0	1	1	1	57	15
1	1	0	1	33	23
0	1	0	1	48	9
0	1	0	1	76	24
1	1	1	1	65	20
0	1	0	1	78	15
0	1	0	1	51	9
0	1	0	1	48	14
1	1	0	1	49	25
0	1	0	1	31	13
0	0	0	1	44	13
1	1	0	1	38	14
0	1	0	1	46	15
1	1	1	1	57	24
0	1	0	1	47	10
0	1	1	1	46	14
1	1	0	1	48	24
0	1	0	1	47	13
0	0	0	1	29	9
0	1	0	1	58	14
0	1	0	1	62	19
0	1	0	1	47	10
1	1	0	1	38	14
1	1	0	1	37	15
0	1	0	1	48	21
0	1	0	1	83	21
0	1	0	1	83	11
1	1	1	1	35	9
0	1	1	1	63	9
0	0	1	1	35	17
1	1	0	1	51	22
1	0	0	1	54	30
1	1	1	1	43	18
1	0	1	1	55	16
0	1	0	1	45	12
1	0	0	1	37	10
0	1	0	1	52	13
0	1	0	1	55	15
0	1	1	1	39	13
0	1	1	1	45	15
0	1	0	1	55	11
0	1	0	1	31	10
0	1	1	1	55	21
0	0	1	1	52	9
0	1	0	1	37	12
1	1	1	1	57	13
0	1	0	1	52	27
0	1	0	1	49	20
0	1	1	1	39	16
0	1	1	1	59	13
0	1	0	1	55	23
0	1	1	1	56	22
1	0	0	1	33	13
1	0	1	1	70	29
1	0	0	1	30	12
0	1	0	1	38	16
0	1	1	1	74	9
1	1	0	1	51	12
0	1	0	1	55	20
1	1	0	1	37	10
0	1	1	1	33	14
0	1	0	1	42	9
1	1	1	1	60	24
0	1	0	1	35	9
0	1	0	1	36	9
1	1	1	1	73	18
0	1	0	1	35	14
0	0	0	1	50	20
0	1	0	1	37	14
0	1	0	1	71	33
0	1	0	1	69	9
0	1	0	1	37	9
1	1	0	1	52	11
1	1	0	1	34	11
1	0	0	1	49	15
0	1	1	1	49	16
0	1	0	1	35	10
0	1	0	1	45	17
1	1	1	1	63	10
1	1	1	1	38	11
1	0	1	1	41	9
0	1	0	1	59	10
0	1	0	1	67	11
0	1	1	1	55	16
0	1	0	1	64	15
0	0	0	1	27	11
1	1	1	1	44	18
0	1	0	1	57	17
0	1	0	1	52	13
0	1	1	1	35	16
0	1	0	1	51	12
0	1	0	1	44	11
1	1	0	1	37	14
1	1	1	1	37	11
0	1	0	1	38	14
0	1	1	1	52	14
0	0	1	1	42	10
1	1	1	1	35	14
0	1	1	1	38	14
0	0	0	1	54	10
0	1	0	1	57	16
0	0	0	1	60	27
1	1	0	1	38	14
1	1	0	1	34	13
0	1	0	1	57	11
1	1	0	1	38	22
0	1	0	1	53	9
0	1	0	1	42	14
1	0	1	1	55	21
1	1	0	0	65	26
0	1	0	1	38	16
0	1	0	1	74	10
0	1	0	1	58	17
1	1	0	1	70	27
1	1	0	1	58	18
1	1	1	1	52	11
1	1	1	1	33	11
0	1	0	1	60	17
0	0	1	1	38	10
0	1	0	1	50	12
1	1	0	1	31	11
0	1	0	1	50	29
0	0	1	1	45	12
0	1	1	1	73	15
1	1	0	1	45	15
1	1	0	1	37	15
0	0	0	1	38	12
0	1	0	1	63	21
0	0	1	1	42	16
0	1	0	1	65	10
0	0	0	1	54	19
1	1	0	1	56	20
0	1	1	1	69	14
0	0	0	1	55	15
1	1	0	1	54	19
0	1	1	1	36	10
0	1	0	1	50	14
0	1	1	1	34	9
1	0	0	1	45	17
1	1	0	1	34	9
1	1	1	1	60	20
1	0	1	1	54	16
0	1	0	1	37	9
0	1	1	1	51	21
1	1	1	1	73	17
1	0	0	1	38	13
0	1	0	1	43	20
0	1	0	1	45	15
1	0	1	1	32	16
0	1	0	1	61	9
0	1	1	1	75	12
0	1	1	1	46	15
1	0	0	1	43	10
0	1	0	1	46	10
1	1	1	1	52	14
1	1	0	1	42	18
0	1	0	1	38	15
0	1	0	1	38	15
0	1	1	1	29	13
0	1	1	1	47	14
0	1	0	1	52	14
1	0	0	1	44	15
1	1	0	1	49	14
1	1	0	1	54	23
1	0	0	1	42	14
1	0	0	1	31	10
0	1	0	1	33	14
1	1	0	1	47	24
1	1	1	1	52	14
1	0	0	1	54	14
0	1	0	1	73	15
0	1	0	0	32	10
1	1	1	1	44	19
1	1	0	1	32	23
1	0	0	1	33	20
0	1	1	1	75	17
0	1	0	1	60	17
0	0	0	1	31	12
1	1	1	1	58	12
0	1	0	1	35	12
0	0	0	0	37	2
1	1	0	1	66	28
1	1	1	1	59	17
0	1	0	1	39	16
0	1	0	1	74	14
0	0	0	1	45	15
0	1	1	1	51	20
0	1	0	1	52	13
1	1	0	1	47	17
0	1	0	1	58	17
1	0	1	1	43	13
1	0	0	1	51	9
1	1	1	1	47	14
0	1	0	1	59	21
0	1	0	0	34	9
0	0	0	1	45	11
0	1	0	1	33	10
0	0	1	1	41	13
0	1	0	1	58	16
0	1	0	1	63	13
1	1	0	1	39	15
0	1	0	1	72	14
0	1	1	1	46	12
1	1	1	1	75	26
1	1	0	1	29	25
0	1	0	1	46	16
0	1	0	1	55	16
1	1	1	1	38	14
0	1	0	1	40	11
0	1	1	1	46	21
0	1	0	1	60	11
0	1	0	1	72	21
0	1	1	1	62	17
0	1	1	1	39	16
1	0	0	1	40	20
1	1	1	1	43	22
0	1	0	1	37	11
1	1	1	1	43	16
1	1	1	1	72	17
0	1	1	1	55	19
0	1	0	1	74	11
0	1	0	1	51	13
0	1	0	1	56	17
0	1	0	1	40	12
0	1	0	1	45	17
0	1	1	1	38	12
0	0	0	1	55	9
1	0	0	1	51	12
0	1	0	1	55	25
1	1	0	1	33	13
1	1	0	1	55	19
0	1	1	1	71	9
0	1	0	1	73	26
1	1	0	1	41	14
1	1	0	1	52	13
1	0	0	1	30	15
1	1	0	1	47	23
1	1	1	1	33	15
0	1	1	1	53	20
0	1	0	1	58	18
0	1	0	1	36	11
1	1	1	1	48	20
0	1	0	1	65	18
1	0	1	1	43	20
0	1	0	1	51	15
0	1	1	1	72	13
1	1	0	1	60	23
1	0	0	1	49	21
1	1	1	1	56	19
0	1	0	1	40	14
0	1	0	1	63	20
1	1	0	1	45	19
0	1	0	1	42	18
1	1	0	1	58	20
0	1	0	1	63	18
0	1	0	1	36	12
0	0	1	1	48	25
1	0	1	1	44	9
0	1	0	1	53	13
1	1	1	1	37	10
1	0	0	1	53	16
0	1	1	1	47	22
1	1	0	1	58	18
1	0	1	1	41	14
0	1	1	1	49	8
0	1	0	1	44	15
0	1	0	1	77	17
0	0	1	1	37	13
1	0	0	1	37	10
0	0	0	1	37	12
0	1	1	1	52	20
1	1	0	1	56	10
0	1	0	1	47	18
1	1	1	1	42	13
0	1	0	1	43	11
1	1	0	1	33	16
1	1	1	1	63	20
1	1	1	1	43	19
1	0	0	1	32	8
0	1	0	1	42	9
1	0	0	1	48	12
1	0	0	1	49	27
1	1	0	1	41	26
1	1	1	1	44	13
0	0	0	1	61	9
0	1	0	1	31	8
0	1	1	1	61	14
1	1	0	1	60	32
0	1	0	1	51	8
0	0	0	1	38	14
1	1	1	1	58	12
0	1	1	1	58	23
0	1	0	1	37	8
0	1	0	1	43	18
0	1	1	1	45	15
0	1	0	1	73	8
0	1	1	1	53	8
0	1	0	1	63	22
1	1	0	1	44	19
1	1	0	1	52	29
1	1	0	1	39	14
0	1	0	1	31	15
0	1	1	1	62	13
0	1	1	1	34	16
0	1	0	1	73	15
1	1	1	1	55	13
0	1	0	1	57	12
1	1	0	1	38	14
0	1	0	1	38	16
0	1	0	1	44	14
1	1	1	1	44	12
0	1	0	1	42	14
0	1	0	1	52	14
0	0	1	1	62	13
1	1	0	1	39	18
0	1	0	1	62	14
1	1	0	1	55	31
0	1	0	1	44	14
0	1	0	1	76	15
0	1	1	1	37	16
0	1	0	1	44	10
0	1	1	1	43	14
1	1	1	1	34	9
1	0	0	1	44	19
1	1	0	1	42	16
1	0	1	1	72	15
0	1	0	1	49	14
0	1	0	1	56	9
0	1	0	1	44	16
1	1	1	1	44	18
0	1	0	1	49	19
1	1	0	1	54	26
0	1	0	1	78	20
0	1	1	1	35	13
0	0	0	1	48	8
1	1	0	1	39	14
0	1	0	1	45	19
0	0	0	1	46	19
0	1	1	1	47	13
1	0	1	1	34	11
1	1	0	1	38	14
0	1	0	1	61	19
1	1	1	1	36	10
0	1	0	1	49	11
1	1	0	1	34	12
1	1	0	1	36	15
1	0	0	1	43	11
0	0	1	1	57	20
0	0	0	1	53	21
0	1	1	1	30	9
1	1	1	1	29	9
0	1	0	1	53	15
0	0	0	1	37	13
0	1	0	1	62	21
0	1	1	1	41	15
0	1	0	1	56	17
0	1	1	1	68	8
1	0	0	1	60	15
0	0	0	1	51	8
0	1	0	1	39	16
0	1	0	1	46	18
0	1	0	1	62	15
1	1	0	1	35	10
0	1	1	1	75	12
1	0	1	1	45	16
0	1	0	1	41	13
0	0	0	1	29	11
0	1	0	1	66	18
0	1	0	1	40	16
0	1	0	1	35	8
0	1	0	1	32	20
1	0	0	1	46	19
0	1	0	1	37	13
0	1	0	1	41	40
0	1	0	1	30	11
1	0	1	1	68	14
0	1	1	1	48	12
1	0	1	1	52	13
0	1	0	1	41	15
0	1	0	1	57	9
1	1	0	1	62	23
1	1	0	1	45	17
1	0	0	1	52	15
0	1	1	1	59	21
0	1	0	1	40	8
0	1	0	1	49	19
1	0	0	1	56	23
0	1	0	1	32	12
1	1	1	1	30	9
1	1	1	1	57	10
0	1	0	1	38	18
0	1	0	1	54	20
0	1	0	1	50	14
0	1	1	1	56	19
1	1	1	1	54	18
1	1	0	1	50	23
0	0	0	1	47	17
1	1	0	1	38	14
0	0	0	1	48	8
1	1	0	1	35	18
1	0	0	1	65	15
0	1	0	1	35	14
1	1	0	1	71	27
1	1	1	1	41	16
1	1	0	1	35	9
1	0	0	1	32	9
0	0	1	1	60	27
1	1	1	1	48	20
0	1	0	1	49	9
0	1	0	1	44	18
1	1	0	1	44	16
0	0	0	1	47	8
1	1	0	1	50	20
0	1	0	1	50	15
0	1	0	1	51	18
0	1	0	1	59	14
0	1	1	1	75	17
0	0	0	1	29	10
1	1	1	1	51	14
0	1	0	1	49	13
1	1	0	1	37	15
0	1	0	1	36	11
1	1	1	1	61	13
1	0	1	1	63	19
0	1	0	1	36	13
0	1	0	1	48	17
0	1	0	1	73	28
0	1	0	1	82	16
1	0	0	1	49	14
1	1	0	1	49	18
0	1	1	1	80	9
0	0	1	1	33	8
1	1	1	1	40	16
1	1	0	1	39	14
1	1	1	1	63	14
0	1	1	1	41	14
0	1	1	1	75	15
0	1	1	1	40	9
0	1	0	1	69	12
1	1	0	1	67	24
0	1	1	1	39	15
0	0	0	1	50	8
0	0	0	1	53	9
0	1	0	1	43	14
0	1	0	1	51	16
0	1	0	1	62	16
1	1	0	1	65	27
0	1	0	1	73	8
0	1	0	1	65	2
1	0	0	1	34	12
0	1	0	1	66	8
1	1	1	1	46	18
0	0	0	1	61	13
0	1	0	1	79	21
1	1	0	1	50	9
1	1	1	1	36	12
1	1	0	1	33	25
0	1	0	1	51	8
0	1	0	1	56	15
0	1	0	1	72	20
0	1	0	1	68	15
0	1	0	1	38	13
0	1	0	1	40	13
0	1	1	1	60	9
0	1	0	1	32	8
0	1	1	1	37	11
0	0	1	1	44	18
0	0	1	1	42	9
1	1	1	1	66	21
1	1	1	1	48	16
0	1	0	1	41	9
1	1	0	1	40	16
0	1	1	1	50	21
0	1	0	1	43	12
0	1	0	1	36	10
1	1	1	1	67	15
0	1	0	1	74	15
0	0	0	1	43	12
0	1	0	1	62	12
0	1	1	1	52	22
0	1	0	1	67	15
0	1	0	1	63	20
1	1	0	1	42	12
0	1	0	1	41	9
1	1	1	1	45	13
0	1	1	1	76	19
1	0	1	1	44	11
0	0	0	1	52	8
1	1	0	1	48	19
0	1	1	1	34	8
0	1	0	1	51	16
1	1	0	1	50	18
0	1	0	1	51	9
0	1	1	1	63	13
0	1	0	1	51	15
0	1	0	1	62	16
1	0	0	1	38	9
0	1	0	1	67	9
1	1	0	1	38	15
1	1	1	1	49	16
0	1	1	1	34	11
1	0	0	1	35	8
0	1	0	1	56	15
0	0	1	1	67	16
1	0	1	1	67	19
0	1	1	1	46	14
1	1	1	1	80	19
1	0	1	1	69	9
1	1	0	1	35	11
1	1	1	1	51	22
0	0	0	1	36	15
0	1	0	1	38	13
0	1	0	1	70	11
0	1	1	1	36	11
1	1	1	1	57	16
1	1	0	1	38	17
0	1	0	1	69	19
0	1	0	1	39	14
0	1	0	1	75	13
0	1	0	1	64	8
0	1	0	1	52	15
0	1	0	1	62	20
0	1	0	1	52	9
0	1	0	1	34	8
0	1	0	1	61	15
1	0	0	1	44	12
1	0	0	1	33	12
1	1	0	1	58	8
0	1	0	1	49	16
0	1	0	1	58	20
0	0	0	1	36	14
1	0	1	1	36	9
0	1	0	1	58	10
0	1	0	1	61	20
1	1	1	1	53	15
1	1	1	1	49	22
1	1	1	1	52	9
1	0	1	1	34	20
0	1	0	1	54	11
1	0	0	1	35	11
0	0	0	1	55	11
0	1	0	1	67	18
1	1	0	1	59	26
0	1	0	1	39	12
0	1	0	1	54	17
1	1	1	1	57	23
0	1	0	1	75	11
0	0	0	1	40	13
0	1	0	0	28	11
1	0	1	1	42	17
0	1	1	1	46	15
0	1	0	1	51	15
1	1	0	1	31	20
1	1	1	1	37	13
1	1	0	1	39	15
1	0	1	1	42	13
0	1	0	1	51	18
1	0	0	1	35	12
0	1	0	1	41	13
0	0	1	1	61	10
0	1	0	1	51	16
0	1	0	1	49	8
1	0	1	1	61	9
1	0	0	1	52	19
1	1	1	1	55	15
0	1	1	1	75	15
0	1	1	1	63	9
1	1	1	1	43	16
1	0	1	1	50	12
1	1	0	1	43	18
0	1	0	1	64	15
0	1	0	1	36	11
1	1	0	1	42	15
0	0	0	1	46	8
0	1	0	1	43	24
0	1	0	1	60	11
1	1	1	1	39	15
0	1	0	1	73	15
0	0	0	1	39	8
1	1	1	1	52	15
1	1	1	1	56	22
1	0	1	1	52	17
0	0	0	1	33	13
1	1	0	1	30	9
1	0	0	1	58	14
0	1	0	1	54	11
0	1	0	1	69	17
1	1	0	1	38	14
1	1	0	1	55	8
1	0	0	1	42	13
0	0	0	1	55	26
1	0	0	1	43	12
0	1	1	1	70	9
0	0	1	1	45	9
1	1	1	1	31	8
0	1	1	1	40	16
1	1	0	1	44	20
0	0	0	1	51	8
0	1	1	1	92	16
0	0	0	1	42	9
0	1	0	1	52	12
0	1	0	1	44	11
1	1	1	1	53	9
0	1	0	1	83	14
1	1	1	1	43	15
1	0	1	1	62	10
0	1	0	1	82	19
1	1	1	1	33	14
0	1	0	1	39	9
0	1	1	1	58	11
0	1	0	1	63	14
0	1	1	1	40	23
0	1	0	1	29	10
0	1	0	1	66	23
1	1	1	1	49	9
0	0	0	1	44	15
1	1	1	1	33	10
0	1	1	1	38	10
0	0	0	1	55	10
0	0	1	1	38	12
0	1	0	1	40	16
1	0	0	1	40	16
1	1	0	1	51	19
1	1	0	1	38	23
1	1	0	1	58	26
0	1	0	1	62	12
